# recipes.csv - 조합식 (원본, v0.4). 스키마: resultId,mat1,mat2,mat3,mat4
#
# [확정] 재료 구성은 BALANCE 4~7장 표 그대로다(2성=1성2, 3성=2성2+1성1, 4성=3성2+2성1, 5성=4성2+3성1+2성1).
resultId,mat1,mat2,mat3,mat4
T2-WAR-01,T1-WAR,T1-WAR,,
T2-ARC-02,T1-ARC,T1-ARC,,
T2-MAG-03,T1-MAG,T1-MAG,,
T2-PRI-04,T1-PRI,T1-PRI,,
T2-THI-05,T1-THI,T1-THI,,
T2-SPI-06,T1-SPI,T1-SPI,,
T2-WAR-07,T1-WAR,T1-PRI,,
T2-WAR-08,T1-WAR,T1-MAG,,
T2-ARC-09,T1-ARC,T1-THI,,
T2-PRI-10,T1-PRI,T1-ARC,,
T2-MAG-11,T1-MAG,T1-SPI,,
T2-SPI-12,T1-SPI,T1-THI,,
T3-WAR-01,T2-WAR-08,T2-WAR-07,T1-WAR,
T3-WAR-02,T2-WAR-01,T2-PRI-10,T1-WAR,
T3-ARC-03,T2-ARC-02,T2-ARC-09,T1-ARC,
T3-ARC-04,T2-ARC-09,T2-PRI-04,T1-ARC,
T3-MAG-05,T2-MAG-03,T2-MAG-11,T1-MAG,
T3-MAG-06,T2-MAG-11,T2-SPI-12,T1-MAG,
T3-PRI-07,T2-PRI-04,T2-SPI-06,T1-PRI,
T3-PRI-08,T2-WAR-07,T2-WAR-01,T1-PRI,
T3-THI-09,T2-THI-05,T2-ARC-09,T1-THI,
T3-THI-10,T2-THI-05,T2-SPI-12,T1-THI,
T3-SPI-11,T2-SPI-06,T2-SPI-12,T1-SPI,
T3-SPI-12,T2-MAG-03,T2-SPI-06,T1-SPI,
T4-WAR-01,T3-WAR-01,T3-PRI-08,T2-WAR-07,
T4-WAR-02,T3-WAR-02,T3-THI-10,T2-WAR-01,
T4-ARC-03,T3-ARC-03,T3-ARC-04,T2-ARC-02,
T4-MAG-04,T3-MAG-05,T3-MAG-06,T2-MAG-03,
T4-MAG-05,T3-MAG-06,T3-ARC-04,T2-MAG-11,
T4-PRI-06,T3-PRI-07,T3-PRI-08,T2-PRI-04,
T4-THI-07,T3-THI-09,T3-THI-10,T2-THI-05,
T4-SPI-08,T3-SPI-11,T3-SPI-12,T2-SPI-06,
T5-WAR-01,T4-WAR-01,T4-WAR-02,T3-WAR-01,T2-WAR-08
T5-MAG-02,T4-MAG-04,T4-MAG-05,T3-MAG-05,T2-MAG-11
T5-ARC-03,T4-ARC-03,T4-THI-07,T3-THI-09,T2-ARC-09
T5-PRI-04,T4-PRI-06,T4-SPI-08,T3-PRI-07,T2-SPI-06
