# skills.csv - 패시브 스킬 정의 (원본). 트리거 x 효과를 데이터로 조립한다. 유닛 매핑은 units.csv 의 skillIds 컬럼.
# 컬럼: id,trigger,triggerN,effect,radius,magnitude,duration,count,buffStat,note
#   trigger: PASSIVE(상시) / EVERYNTH(평타 N회마다, triggerN=N) / CHANCE(평타마다 확률, triggerN=0~1)
#   effect: MULTITARGET / AREADAMAGE / PIERCE / BONUSDAMAGE / CRIT / DAMAGEZONE / SLOW / ALLYBUFF / ARMORREDUCTION
#   radius: 광역/오라/장판 반경(셀). magnitude: 효과 세기(효과별 의미. 장판은 dps). duration: 지속(초, 온힛 감속 전용). count: 대상 수. buffStat: ATK/ATKSPEED/RANGE(ALLYBUFF 전용)
#
# [확정] 효과군 9종과 단계 구성(1~4단계)은 UNIT_SKILLS.md 2장의 분배 규칙이 요구하는 구조다.
# [확정] 중첩 규칙: 스택 키는 스킬 id 다. 같은 스킬은 필드에 몇 기가 깔려 있어도 1회만 적용된다.
#        효과가 같아도 스킬 id 가 다르면 각각 더해진다. 방어력 하한 0, 이동 속도 하한 기본의 30%.
# [확정] 지속 피해는 디버프가 아니라 장판(DAMAGEZONE)이다. 유닛 주위 반경에 상시 깔리고 안에 있는 동안만 아프다.
# [TEMP] 모든 수치는 임시값이다. 5성 4종의 단일 대상 기대 DPS 편차만 5% 이내로 맞춰 두었고(UNIT_SKILLS.md 5장),
#        나머지 단계 간격과 오라 반경은 시뮬레이터로 확정한다.
#
# 단일 대상 기대 배수: HEAVY1 1.25 / HEAVY2 1.50 / HEAVY3 1.67 / HEAVY4 2.05
#                     CRIT1 1.20 / CRIT2 1.30 / CRIT3 1.42 / CRIT4 1.60
id,trigger,triggerN,effect,radius,magnitude,duration,count,buffStat,note
HEAVY1,EVERYNTH,4,BONUSDAMAGE,0,1.0,0,0,-,평타 4회마다 2배
HEAVY2,EVERYNTH,3,BONUSDAMAGE,0,1.5,0,0,-,평타 3회마다 2.5배
HEAVY3,EVERYNTH,3,BONUSDAMAGE,0,2.0,0,0,-,평타 3회마다 3배
HEAVY4,EVERYNTH,2,BONUSDAMAGE,0,2.1,0,0,-,평타 2회마다 3.1배
CRIT1,CHANCE,0.2,CRIT,0,2.0,0,0,-,20% 확률로 2배
CRIT2,CHANCE,0.3,CRIT,0,2.0,0,0,-,30% 확률로 2배
CRIT3,CHANCE,0.35,CRIT,0,2.2,0,0,-,35% 확률로 2.2배
CRIT4,CHANCE,0.4,CRIT,0,2.5,0,0,-,40% 확률로 2.5배
AREA1,PASSIVE,0,AREADAMAGE,1.5,0.35,0,0,-,명중 반경1.5 에 35% 광역
AREA2,PASSIVE,0,AREADAMAGE,2.0,0.5,0,0,-,명중 반경2.0 에 50% 광역
AREA3,PASSIVE,0,AREADAMAGE,2.0,0.6,0,0,-,명중 반경2.0 에 60% 광역
AREA4,PASSIVE,0,AREADAMAGE,2.5,0.9,0,0,-,명중 반경2.5 에 90% 광역
PIERCE2,PASSIVE,0,PIERCE,0,0,0,2,-,직선 2체 관통
PIERCE3,PASSIVE,0,PIERCE,0,0,0,3,-,직선 3체 관통
MULTI2,PASSIVE,0,MULTITARGET,0,0,0,2,-,가까운 2명 동시 타격
MULTI3,PASSIVE,0,MULTITARGET,0,0,0,3,-,가까운 3명 동시 타격
POISON1,PASSIVE,0,DAMAGEZONE,1.5,5,0,0,-,반경1.5 장판 5dps
POISON2,PASSIVE,0,DAMAGEZONE,2.0,14,0,0,-,반경2 장판 14dps
POISON3,PASSIVE,0,DAMAGEZONE,2.5,38,0,0,-,반경2.5 장판 38dps
POISON4,PASSIVE,0,DAMAGEZONE,3.0,85,0,0,-,반경3 장판 85dps
CHILL1,PASSIVE,0,SLOW,0,0.25,1.5,0,-,명중 대상 25% 감속 1.5초
CHILL2,PASSIVE,0,SLOW,0,0.35,2.0,0,-,명중 대상 35% 감속 2초
FROST1,PASSIVE,0,SLOW,2.0,0.25,0,0,-,반경2 적 25% 감속 오라
WARCRY1,PASSIVE,0,ALLYBUFF,3.0,0.15,0,0,ATK,반경3 아군 공격력 15% 상향
WARCRY2,PASSIVE,0,ALLYBUFF,3.0,0.25,0,0,ATK,반경3 아군 공격력 25% 상향
WARCRY3,PASSIVE,0,ALLYBUFF,3.5,0.35,0,0,ATK,반경3.5 아군 공격력 35% 상향
HASTE1,PASSIVE,0,ALLYBUFF,3.0,0.15,0,0,ATKSPEED,반경3 아군 공속 15% 상향
HASTE2,PASSIVE,0,ALLYBUFF,3.0,0.30,0,0,ATKSPEED,반경3 아군 공속 30% 상향
SIGHT1,PASSIVE,0,ALLYBUFF,3.0,0.15,0,0,RANGE,반경3 아군 사거리 15% 상향
SIGHT2,PASSIVE,0,ALLYBUFF,3.5,0.30,0,0,RANGE,반경3.5 아군 사거리 30% 상향
SUNDER1,PASSIVE,0,ARMORREDUCTION,2.5,4,0,0,-,반경2.5 적 방어력 4 절대 감소
SUNDER2,PASSIVE,0,ARMORREDUCTION,3.0,8,0,0,-,반경3 적 방어력 8 절대 감소
