# strings.csv - 문자열 테이블 (원본). 화면에 나가는 모든 문자열은 여기 키로만 참조한다.
# 컬럼: key,ko,en
#   값에 쉼표가 들어가면 큰따옴표로 감싼다. 따옴표 자체는 "" 로 적는다.
#   en 이 비면 ko 로 폴백한다. 번역 전 항목이 화면에서 사라지지 않게 하기 위해서다.
#
# [확정] 키 규약: str.<영역>.<대상>.<항목>. 스킬은 str.skill.<스킬id>.name / .desc 로 고정한다.
#        규약이라 skills.csv 에 키 컬럼을 두지 않고, 린터가 32종의 키 존재를 검사할 수 있다.
# [확정] 치환자는 {name} 한 단계만 쓴다. 중첩과 파이프 구문은 두지 않는다.
# [확정] 스탯 표기는 "총합 (증감)" 이다. 버프가 걸린 상태에서 기본값을 주 숫자로 두면
#        플레이어가 실제 수치를 알려고 덧셈을 해야 한다. LoL 등 주요 게임이 총합을 앞에 둔다.
key,ko,en
str.stat.plain,{label} {value},{label} {value}
str.stat.buffed,{label} {value} <color=#4ADE80>(+{delta})</color>,{label} {value} <color=#4ADE80>(+{delta})</color>
str.stat.debuffed,{label} {value} <color=#F87171>(-{delta})</color>,{label} {value} <color=#F87171>(-{delta})</color>
str.stat.atk,공격력,Attack
str.stat.atkspeed,공속,Attack Speed
str.stat.range,사거리,Range
str.stat.dps,초당 피해,DPS
str.stat.armor,방어력,Armor
str.stat.movespeed,이동속도,Move Speed
str.stat.hp,체력,Health
str.skill.HEAVY1.name,강타,Heavy Strike
str.skill.HEAVY1.desc,평타 {triggerN}회마다 피해 {magnitude}배 추가,Every {triggerN} attacks deal {magnitude}x bonus damage
str.skill.HEAVY2.name,강타 2,Heavy Strike II
str.skill.HEAVY2.desc,평타 {triggerN}회마다 피해 {magnitude}배 추가,Every {triggerN} attacks deal {magnitude}x bonus damage
str.skill.HEAVY3.name,강타 3,Heavy Strike III
str.skill.HEAVY3.desc,평타 {triggerN}회마다 피해 {magnitude}배 추가,Every {triggerN} attacks deal {magnitude}x bonus damage
str.skill.HEAVY4.name,강타 4,Heavy Strike IV
