# units.csv - 유닛 데이터 (원본, v0.4). 스키마: BALANCE_SPEC.md 19
# 컬럼: id,name,tier,klass,atk,atkSpeed,range,skillIds,note
#
# [확정] 종수/계열/등급/재료 구조는 BALANCE 2~11장 그대로다.
# [확정] 배치 코스트가 없다. 코스트 경제를 폐기했고 배치를 제약하는 것은 배치 칸 수뿐이다.
# [확정] skillIds 는 슬래시로 구분한다. 없으면 "-". 스킬 수는 등급-1 이며 분배 근거는 UNIT_SKILLS.md 다.
# [확정] 유닛에 hp 가 없다. 몬스터가 유닛을 공격하는 경우가 없어 유닛 체력이라는 개념 자체가 없다.
# [TEMP] atk/atkSpeed/range 는 전부 임시값이다(BALANCE 0장). 시뮬레이터로 확정한다.
#        atk 는 등급별(10/28/70/160/360), range 는 계열별(WAR/THI 2.5, PRI/SPI 4.5, MAG 5.5, ARC 6.0), THI 는 공속 1.5.
id,name,tier,klass,atk,atkSpeed,range,skillIds,note
T1-WAR,전사,1,WAR,10,1.0,2.5,-,TEMP
T1-ARC,궁수,1,ARC,10,1.0,6.0,-,TEMP
T1-MAG,법사,1,MAG,10,1.0,5.5,-,TEMP
T1-PRI,사제,1,PRI,10,1.0,4.5,-,TEMP
T1-THI,도적,1,THI,10,1.5,2.5,-,TEMP
T1-SPI,정령,1,SPI,10,1.0,4.5,-,TEMP
T2-WAR-01,버서커,2,WAR,28,1.0,2.5,HEAVY1,TEMP
T2-ARC-02,스나이퍼,2,ARC,28,1.0,6.0,PIERCE2,TEMP
T2-MAG-03,소서러,2,MAG,28,1.0,5.5,AREA1,TEMP
T2-PRI-04,프리스트,2,PRI,28,1.0,4.5,WARCRY1,TEMP
T2-THI-05,어쌔신,2,THI,28,1.5,2.5,CRIT1,TEMP
T2-SPI-06,상급정령,2,SPI,28,1.0,4.5,POISON1,TEMP
T2-WAR-07,성기사,2,WAR,28,1.0,2.5,WARCRY1,TEMP
T2-WAR-08,마법검사,2,WAR,28,1.0,2.5,AREA1,TEMP
T2-ARC-09,레인저,2,ARC,28,1.0,6.0,CRIT1,TEMP
T2-PRI-10,바드,2,PRI,28,1.0,4.5,SIGHT1,TEMP
T2-MAG-11,주술사,2,MAG,28,1.0,5.5,POISON1,TEMP
T2-SPI-12,인챈터,2,SPI,28,1.0,4.5,CHILL1,TEMP
T3-WAR-01,룬나이트,3,WAR,70,1.0,2.5,AREA2/WARCRY1,TEMP
T3-WAR-02,워로드,3,WAR,70,1.0,2.5,HEAVY2/WARCRY1,TEMP
T3-ARC-03,스카우트,3,ARC,70,1.0,6.0,PIERCE2/CRIT2,TEMP
T3-ARC-04,헌터,3,ARC,70,1.0,6.0,CRIT2/SIGHT1,TEMP
T3-MAG-05,흑마도사,3,MAG,70,1.0,5.5,AREA2/POISON2,TEMP
T3-MAG-06,네크로맨서,3,MAG,70,1.0,5.5,POISON2/CHILL2,TEMP
T3-PRI-07,드루이드,3,PRI,70,1.0,4.5,POISON2/FROST1,TEMP
T3-PRI-08,크루세이더,3,PRI,70,1.0,4.5,WARCRY2/HEAVY1,TEMP
T3-THI-09,닌자,3,THI,70,1.5,2.5,CRIT2/MULTI2,TEMP
T3-THI-10,슬레이어,3,THI,70,1.5,2.5,HEAVY2/CHILL2,TEMP
T3-SPI-11,블랙스미스,3,SPI,70,1.0,4.5,SUNDER1/HASTE1,TEMP
T3-SPI-12,정령술사,3,SPI,70,1.0,4.5,AREA2/POISON2,TEMP
T4-WAR-01,발키리,4,WAR,160,1.0,2.5,HEAVY2/AREA2/WARCRY2,TEMP
T4-WAR-02,데스나이트,4,WAR,160,1.0,2.5,HEAVY3/CRIT2/CHILL2,TEMP
T4-ARC-03,크리스탈슈터,4,ARC,160,1.0,6.0,PIERCE3/CRIT3/SIGHT2,TEMP
T4-MAG-04,아크메이지,4,MAG,160,1.0,5.5,AREA3/POISON3/HEAVY2,TEMP
T4-MAG-05,세이지,4,MAG,160,1.0,5.5,POISON3/SUNDER1/HASTE2,TEMP
T4-PRI-06,아크엔젤,4,PRI,160,1.0,4.5,HEAVY2/MULTI2/WARCRY3,TEMP
T4-THI-07,상급어쌔신,4,THI,160,1.5,2.5,CRIT4/MULTI3/HASTE1,TEMP
T4-SPI-08,정령왕,4,SPI,160,1.0,4.5,POISON3/AREA2/SUNDER1,TEMP
T5-WAR-01,검성 라그나로크,5,WAR,360,1.0,2.5,HEAVY3/AREA3/CHILL2/WARCRY2,TEMP
T5-MAG-02,그랜드마스터,5,MAG,360,1.0,5.5,HEAVY4/AREA4/POISON4/SUNDER2,TEMP
T5-ARC-03,유니온 센티넬,5,ARC,360,1.0,6.0,CRIT4/PIERCE3/HASTE2/SIGHT2,TEMP
T5-PRI-04,데미갓,5,PRI,360,1.0,4.5,HEAVY2/MULTI3/WARCRY3/SUNDER2,TEMP
